GlyNet	V5.0	V5.1	V5.2	Gene ID	Glycan
250	256	255	255	253 Sp8	Neu5Ac(α2-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp8
251	257	256	256	254 Sp8	Neu5Ac(α2-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β-Sp8
252	258	257	257	255 Sp8	Neu5Ac(α2-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp8
253	259	258	258	257 Sp0	Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
254	260	259	259	258 Sp0	Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β-Sp0
255	261	260	260	258 Sp8	Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β-Sp8
256	262	261	261	259 Sp0	Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
257	263	262	262	260 Sp0	Fuc(α1-2)Gal(β1-4)(6S)Glc(β-Sp0
258	264	263	263	261 Sp0	Neu5Ac(α2-3)Gal(β1-4)Glc(β-Sp0
259	265	264	264	261 Sp8	Neu5Ac(α2-3)Gal(β1-4)Glc(β-Sp8
260	266	265	265	263 Sp8	Neu5Ac(α2-6)GalNAc(α-Sp8
261	267	266	266	264 Sp0	Neu5Ac(α2-6)GalNAc(β1-4)GlcNAc(β-Sp0
262	268	267	267	267 Sp8	Neu5Ac(α2-6)Gal(β1-4)(6S)GlcNAc(β-Sp8
263	269	268	268	268 Sp0	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β-Sp0
264	270	269	269	268 Sp8	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β-Sp8
265	271	270	270	269 Sp0	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
266	272	271	271	270 Sp0	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
267	273	272	272	271 Sp0	Neu5Ac(α2-6)Gal(β1-4)Glc(β-Sp0
268	274	273	273	271 Sp8	Neu5Ac(α2-6)Gal(β1-4)Glc(β-Sp8
269	275	274	274	272 Sp8	Neu5Ac(α2-6)Gal(β-Sp8
270	276	275	275	273 Sp8	Neu5Ac(α2-8)Neu5Ac(α-Sp8
271	277	276	276	274 Sp0	Neu5Ac(α2-8)Neu5Ac(α2-3)Gal(β1-4)Glc(β-Sp0
272	278	277	277	275 Sp0	Gal(β1-3)[Fuc(α1-4)]GlcNAc(β1-3)Gal(β1-3)[Fuc(α1-4)]GlcNAc(β-Sp0
273	279	278	278	277 Sp8	Neu5Ac(β2-6)GalNAc(α-Sp8
274	280	279	279	278 Sp8	Neu5Ac(β2-6)Gal(β1-4)GlcNAc(β-Sp8
275	281	280	280	280 Sp0	Neu5Gc(α2-3)Gal(β1-3)[Fuc(α1-4)]GlcNAc(β-Sp0
276	282	281	281	281 Sp0	Neu5Gc(α2-3)Gal(β1-3)GlcNAc(β-Sp0
277	283	282	282	282 Sp0	Neu5Gc(α2-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
278	284	283	283	283 Sp0	Neu5Gc(α2-3)Gal(β1-4)GlcNAc(β-Sp0
279	285	284	284	284 Sp0	Neu5Gc(α2-3)Gal(β1-4)Glc(β-Sp0
280	286	285	285	285 Sp0	Neu5Gc(α2-6)GalNAc(α-Sp0
281	287	286	286	286 Sp0	Neu5Gc(α2-6)Gal(β1-4)GlcNAc(β-Sp0
282	288	287	287	287 Sp8	Neu5Gc(α-Sp8
283	289	288	288	295 Sp14	Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β1-6)[Gal(β1-3)]GalNAc(α-Sp14
284	290	289	289	297 Sp0	Gal(β1-3)GlcNAc(β1-3)Gal(β1-3)GlcNAc(β-Sp0
285	291	290	290	298 Sp0	Gal(β1-4)[Fuc(α1-3)](6S)GlcNAc(β-Sp0
286	292	291	291	299 Sp0	Gal(β1-4)[Fuc(α1-3)](6S)Glc(β-Sp0
287	293	292	292	300 Sp0	Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β1-3)[Fuc(α1-4)]GlcNAc(β-Sp0
288	294	293	293	301 Sp0	Gal(β1-4)GlcNAc(β1-3)Gal(β1-3)GlcNAc(β-Sp0
289	295	294	294	302 Sp0	Neu5Ac(α2-3)Gal(β1-3)GlcNAc(β1-3)Gal(β1-3)GlcNAc(β-Sp0
290	296	295	295	303 Sp0	Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β1-3)Gal(β1-3)GlcNAc(β-Sp0
291	297	296	296	305 Sp0	(4S)(3S)Gal(β1-4)GlcNAc(β-Sp0
292	298	297	297	306 Sp0	(6S)Gal(β1-4)(6S)GlcNAc(β-Sp0
293	299	298	298	307 Sp10	(6P)Glc(β-Sp10
294	300	299	299	311 Sp14	Neu5Ac(α2-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-6)[Gal(β1-3)]GalNAc(α-Sp14
295	301	300	300	312 Sp8	Gal(β1-3)Gal(β1-4)GlcNAc(β-Sp8
296	302	301	301	313 Sp12	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12
297	303	302	302	314 Sp0	Gal(β1-4)GlcNAc(β1-6)[Gal(β1-4)GlcNAc(β1-3)]Gal(β1-4)GlcNAc(-Sp0
298	304	303	303	315 Sp0	GlcNAc(β1-6)[Gal(β1-4)GlcNAc(β1-3)]Gal(β1-4)GlcNAc(-Sp0
299	305	304	304	316 Sp0	Gal(β1-4)GlcNAc(α1-6)Gal(β1-4)GlcNAc(β-Sp0
300	306	305	305	317 Sp0	Gal(β1-4)GlcNAc(β1-6)Gal(β1-4)GlcNAc(β-Sp0
301	307	306	306	320 Sp8	GalNAc(β1-3)Gal(β-Sp8
302	308	307	307	321 Sp8	GlcA(β1-3)GlcNAc(β-Sp8
303	309	308	308	322 Sp12	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12
304	310	309	309	324 Sp10	GlcNAc(β1-3)Man(-Sp10
305	311	310	310	325 Sp10	GlcNAc(β1-4)GlcNAc(β-Sp10
306	312	311	311	325 Sp12	GlcNAc(β1-4)GlcNAc(β-Sp12
	313	312	312	327 Sp10	MurNAc(β1-4)GlcNAc(β-Sp10
307	314	313	313	329 Sp10	Man(α1-6)Man(β-Sp10
308	315	314	314	330 Sp10	Man(α1-6)[Man(α1-3)]Man(α1-6)[Man(α1-3)]Man(β-Sp10
309	316	315	315	331 Sp9	Man(α1-2)Man(α1-6)[Man(α1-3)]Man(α1-6)[Man(α1-2)Man(α1-2)Man(α1-3)]Man(α-Sp9
310	317	316	316	332 Sp9	Man(α1-2)Man(α1-6)[Man(α1-2)Man(α1-3)]Man(α1-6)[Man(α1-2)Man(α1-2)Man(α1-3)]Man(α-Sp9
311	318	317	317	333 Sp14	Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β1-6)[Neu5Ac(α2-3)Gal(β1-3)]GalNAc(α-Sp14
312	319	318	318	336 Sp12	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12
313	320	319	319	337 Sp12	Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12
	321	320		338 Sp12	GlcNAc(β1-2)Man(α1-6)[Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12
314	322	321	320	340 Sp17	Neu5Ac(α2-8)Neu5Ac(β-Sp17
315	323	322	321	341 Sp8	Neu5Ac(α2-8)Neu5Ac(α2-8)Neu5Ac(β-Sp8
316	324	323	322	342 Sp8	Neu5Gc(β2-6)Gal(β1-4)GlcNAc(-Sp8
317	325	324	323	343 Sp19	Gal(β1-3)GlcNAc(β1-2)Man(α1-6)[Gal(β1-3)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp19
318	326	325	324	345 Sp12	Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12
319	327	326	325	346 Sp12	Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12
320	328	327	326	347 Sp20	Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-2)Man(α1-6)[Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp20
	329	328	327	350 Sp0	Neu5,9Ac2(α2-3)Gal(β1-4)GlcNAc(β-Sp0
	330	329	328	351 Sp0	Neu5,9Ac2(α2-3)Gal(β1-3)GlcNAc(β-Sp0
321	331	330	329	352 Sp0	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-3)Gal(β1-3)GlcNAc(β-Sp0
322	332	331	330	353 Sp0	Neu5Ac(α2-3)Gal(β1-3)[Fuc(α1-4)]GlcNAc(β1-3)Gal(β1-3)[Fuc(α1-4)]GlcNAc(β-Sp0
323	333	332	331	354 Sp0	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
324	334	333	332	355 Sp0	Gal(α1-4)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)Glc(β-Sp0
325	335	334	333	356 Sp0	GalNAc(β1-3)Gal(α1-4)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)Glc(β-Sp0
326	336	335	334	357 Sp0	GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
327	337	336	335	358 Sp0	GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
328	338	337	336	359 Sp14	Neu5Ac(α2-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-6)[Neu5Ac(α2-3)Gal(β1-3)]GalNAc(-Sp14
329	339	338	337	360 Sp0	GlcNAc(α1-4)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
330	340	339	338	361 Sp0	GlcNAc(α1-4)Gal(β1-4)GlcNAc(β-Sp0
331	341	340	339	362 Sp0	GlcNAc(α1-4)Gal(β1-3)GlcNAc(β-Sp0
332	342	341	340	363 Sp0	GlcNAc(α1-4)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)Glc(β-Sp0
333	343	342	341	364 Sp0	GlcNAc(α1-4)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
334	344	343	342	365 Sp0	GlcNAc(α1-4)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
335	345	344	343	366 Sp14	GlcNAc(α1-4)Gal(β1-3)GalNAc(-Sp14
336	346	345	344	367 Sp12	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(-Sp12
337	347	346	345	368 Sp12	Man(α1-6)[Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(-Sp12
338	348	347	346	369 Sp12	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-2)Man(α1-6)Man(β1-4)GlcNAc(β1-4)GlcNAc(-Sp12
339	349	348	347	370 Sp12	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-2)Man(α1-3)Man(β1-4)GlcNAc(β1-4)GlcNAc(-Sp12
340	350	349	348	371 Sp12	Gal(β1-4)GlcNAc(β1-2)Man(α1-3)Man(β1-4)GlcNAc(β1-4)GlcNAc(-Sp12
341	351	350	349	372 Sp12	Gal(β1-4)GlcNAc(β1-2)Man(α1-6)Man(β1-4)GlcNAc(β1-4)GlcNAc(-Sp12
342	352	351	350	373 Sp12	Man(α1-6)[Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12
343	353	352	351	374 Sp22	GlcNAc(β1-2)Man(α1-6)[GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)[Fuc(α1-6)]GlcNAc(β-Sp22
344	354	353	352	375 Sp22	Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)[Fuc(α1-6)]GlcNAc(β-Sp22
345	355	354	353	376 Sp22	Gal(β1-3)GlcNAc(β1-2)Man(α1-6)[Gal(β1-3)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)[Fuc(α1-6)]GlcNAc(β-Sp22
346	356	355	354	379 Sp0	(6S)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
347	357	356	355	380 Sp0	Kdn(α2-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(-Sp0
348	358	357	356	381 Sp0	Kdn(α2-6)Gal(β1-4)GlcNAc(-Sp0
349	359	358	357	382 Sp0	Kdn(α2-3)Gal(β1-4)Glc(-Sp0
350	360	359	358	383 Sp14	Kdn(α2-3)Gal(β1-3)GalNAc(α-Sp14
351	361	360	359	384 Sp20	Fuc(α1-2)Gal(β1-3)GlcNAc(β1-2)Man(α1-6)[Fuc(α1-2)Gal(β1-3)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp20
352	362	361	360	385 Sp20	Fuc(α1-2)Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[Fuc(α1-2)Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp20
353	363	362	361	386 Sp20	Fuc(α1-2)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-2)Man(α1-6)[Fuc(α1-2)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp20
354	364	363	362	387 Sp20	Gal(α1-3)Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[Gal(α1-3)Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp20
355	365	364	363	388 Sp12	Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12
356	366	365	364	389 Sp22	Fuc(α1-4)[Gal(β1-3)]GlcNAc(β1-2)Man(α1-6)[Fuc(α1-4)[Gal(β1-3)]GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)[Fuc(α1-6)]GlcNAc(β-Sp22
357	367	366	365	390 Sp21	Neu5Ac(α2-6)GlcNAc(β1-4)GlcNAc(-Sp21
358	368	367	366	391 Sp21	Neu5Ac(α2-6)GlcNAc(β1-4)GlcNAc(β1-4)GlcNAc(-Sp21
359	369	368	367	392 Sp21	Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-6)[Fuc(α1-2)Gal(β1-4)GlcNAc(β1-3)]Gal(β1-4)Glc(-Sp21
360	370	369	368	393 Sp21	Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[Gal(β1-4)GlcNAc(β1-4)[Gal(β1-4)GlcNAc(β1-2)]Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(-Sp21
361	371	370	369	394 Sp20	GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp20
362	372	371	370	395 Sp20	Gal(α1-3)[Fuc(α1-2)]Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[Gal(α1-3)[Fuc(α1-2)]Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp20
363	373	372	371	396 Sp20	Gal(α1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-2)Man(α1-6)[Gal(α1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp20
364	374	373	372	397 Sp20	GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-3)GlcNAc(β1-2)Man(α1-6)[GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-3)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp20
365	375	374	373	398 Sp20	Gal(α1-3)[Fuc(α1-2)]Gal(β1-3)GlcNAc(β1-2)Man(α1-6)[Gal(α1-3)[Fuc(α1-2)]Gal(β1-3)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp20
	376	375	374	399 Sp19	Fuc(α1-4)[Fuc(α1-2)Gal(β1-3)]GlcNAc(β1-2)Man(α1-3)[Fuc(α1-4)[Fuc(α1-2)Gal(β1-3)]GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp19
366	377	376	375	400 Sp14	Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β1-3)GalNAc(-Sp14
367	378	377	376	401 Sp14	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-3)GalNAc(-Sp14
368	379	378	377	402 Sp14	Neu5Ac(α2-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)GalNAc(α-Sp14
369	380	379	378	403 Sp12	GalNAc(β1-4)GlcNAc(β1-2)Man(α1-6)[GalNAc(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(-Sp12
370	381	380	379	404 Sp14	Gal(β1-3)GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-4)Glc(-Sp0
371	382	381	380	405 Sp14	Gal(β1-3)GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-4)GlcNAc(-Sp0
372	383	382	381	406 Sp0	Gal(β1-3)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β1-6)[Gal(β1-3)GlcNAc(β1-3)]Gal(β1-4)Glc(β-Sp0
373	384	383	382	407 Sp21	Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-6)[Gal(β1-3)GlcNAc(β1-3)]Gal(β1-4)Glc(-Sp21
374	385	384	383	408 Sp21	Gal(β1-4)GlcNAc(β1-6)[Fuc(α1-4)[Fuc(α1-2)Gal(β1-3)]GlcNAc(β1-3)]Gal(β1-4)Glc(-Sp21
375	386	385	384	409 Sp21	Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-6)[Fuc(α1-4)[Fuc(α1-2)Gal(β1-3)]GlcNAc(β1-3)]Gal(β1-4)Glc(-Sp21
376	387	386	385	410 Sp21	Gal(β1-3)GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-6)[Gal(β1-3)GlcNAc(β1-3)]Gal(β1-4)Glc(-Sp21
377	388	387	386	411 Sp21	Gal(β1-4)GlcNAc(β1-6)[Gal(β1-4)GlcNAc(β1-2)]Man(α1-6)[Gal(β1-4)GlcNAc(β1-4)[Gal(β1-4)GlcNAc(β1-2)]Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp21
378	389	388	387	412 Sp21	GlcNAc(β1-2)Man(α1-6)[GlcNAc(β1-4)[GlcNAc(β1-2)]Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(-Sp21
379	390	389	388	413 Sp0	Fuc(α1-2)Gal(β1-3)GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-4)Glc(β-Sp0
380	391	390	389	414 Sp0	Fuc(α1-2)Gal(β1-3)GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-4)GlcNAc(β-Sp0
381	392	391	390	415 Sp14	Gal(β1-3)GlcNAc(β1-3)GalNAc(α-Sp14
382	393	392	391	416 Sp14	GalNAc(β1-4)[Neu5Ac(α2-3)]Gal(β1-4)GlcNAc(β1-3)GalNAc(α-Sp14
383	394	393	392	417 Sp0	GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-3)GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-4)GlcNAc(β-Sp0
384	395	394	393	418 Sp19	Gal(α1-3)Gal(β1-3)GlcNAc(β1-2)Man(α1-6)[Gal(α1-3)Gal(β1-3)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(-Sp19
385	396	395	394	419 Sp19	Gal(α1-3)Gal(β1-3)[Fuc(α1-4)]GlcNAc(β1-2)Man(α1-6)[Gal(α1-3)Gal(β1-3)[Fuc(α1-4)]GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(-Sp19
386	397	396	395	420 Sp19	Neu5Ac(α2-3)Gal(β1-3)GlcNAc(β1-2)Man(α1-6)[Neu5Ac(α2-3)Gal(β1-3)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(-Sp19
387	398	397	396	421 Sp12	GlcNAc(β1-2)Man(α1-6)[Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(-Sp12
388	399	398	397	422 Sp12	Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(-Sp12
389	400	399	398	423 Sp14	Neu5Ac(α2-3)Gal(β1-3)GlcNAc(β1-3)GalNAc(α-Sp14
390	401	400	399	424 Sp14	Fuc(α1-2)Gal(β1-4)GlcNAc(β1-3)GalNAc(α-Sp14
391	402	401	400	425 Sp14	Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)GalNAc(α-Sp14
392	403	402	401	426 Sp0	GalNAc(α1-3)GalNAc(β1-3)Gal(α1-4)Gal(β1-4)GlcNAc(β-Sp0
393	404	403	402	427 Sp19	Gal(α1-4)Gal(β1-3)GlcNAc(β1-2)Man(α1-6)[Gal(α1-4)Gal(β1-3)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp19
394	405	404	403	428 Sp24	Gal(α1-4)Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[Gal(α1-4)Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp24
395	406	405	404	429 Sp14	Gal(α1-3)Gal(β1-4)GlcNAc(β1-3)GalNAc(α-Sp14
396	407	406	405	430 Sp0	Gal(β1-3)GlcNAc(β1-6)Gal(β1-4)GlcNAc(β-Sp0
397	408	407	406	431 Sp0	Gal(β1-3)GlcNAc(α1-6)Gal(β1-4)GlcNAc(β-Sp0
398	409	408	407	432 Sp8	GalNAc(β1-3)Gal(α1-6)Gal(β1-4)Glc(β-Sp8
399	410	409	408	434 Sp21	Gal(α1-3)[Fuc(α1-2)]Gal(β1-4)[Fuc(α1-3)]Glc(β-Sp21
400	411	410	409	435 Sp21	Gal(β1-4)GlcNAc(β1-6)[Neu5Ac(α2-6)Gal(β1-3)GlcNAc(β1-3)]Gal(β1-4)Glc(-Sp21
401	412	411	410	436 Sp0	Gal(β1-3)GalNAc(β1-4)[Neu5Ac(α2-8)Neu5Ac(α2-3)]Gal(β1-4)Glc(β-Sp0
402	413	412	411	437 Sp0	Neu5Ac(α2-3)Gal(β1-3)GalNAc(β1-4)[Neu5Ac(α2-8)Neu5Ac(α2-3)]Gal(β1-4)Glc(β-Sp0
403	414	413	412	438 Sp14	Gal(α1-3)[Fuc(α1-2)]Gal(β1-4)GlcNAc(β1-3)GalNAc(α-Sp14
404	415	414	413	439 Sp14	GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-4)GlcNAc(β1-3)GalNAc(α-Sp14
405	416	415	414	440 Sp0	GalNAc(α1-3)GalNAc(β1-3)Gal(α1-4)Gal(β1-4)Glc(β-Sp0
406	417	416	415	441 Sp14	Fuc(α1-2)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)GalNAc(α-Sp14
407	418	417	416	442 Sp14	Gal(α1-3)[Fuc(α1-2)]Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)GalNAc(-Sp14
408	419	418	417	443 Sp14	GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)GalNAc(-Sp14
409	420	419	418	444 Sp22	Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-2)Man(α1-6)[Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)[Fuc(α1-6)]GlcNAc(β-Sp22
410	421	420	419	445 Sp22	Fuc(α1-2)Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[Fuc(α1-2)Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)[Fuc(α1-6)]GlcNAc(β-Sp22
411	422	421	420	446 Sp19	GlcNAc(β1-2)[GlcNAc(β1-6)]Man(α1-6)[GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp19
412	423	422	421	447 Sp14	Fuc(α1-2)Gal(β1-3)GlcNAc(β1-3)GalNAc(-Sp14
413	424	423	422	448 Sp14	Gal(α1-3)[Fuc(α1-2)]Gal(β1-3)GlcNAc(β1-3)GalNAc(-Sp14
414	425	424	423	449 Sp14	GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-3)GlcNAc(β1-3)GalNAc(-Sp14
415	426	425	424	450 Sp14	Gal(α1-3)Gal(β1-3)GlcNAc(β1-3)GalNAc(-Sp14
416	427	426	425	451 Sp22	Fuc(α1-2)Gal(β1-3)GlcNAc(β1-2)Man(α1-6)[Fuc(α1-2)Gal(β1-3)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)[Fuc(α1-6)]GlcNAc(β-Sp22
